iter	Passed	Remaining
0	301	150501
1	574	143030
2	946	156791
3	1201	148975
4	1418	140436
5	1642	135197
6	1867	131500
7	2070	127320
8	2286	124747
9	2502	122610
10	2701	120085
11	2937	119438
12	3193	119638
13	3436	119284
14	3652	118105
15	3846	116359
16	4088	116158
17	4275	114500
18	4490	113691
19	4725	113406
20	4908	111959
21	5150	111903
22	5357	111100
23	5578	110640
24	5813	110464
25	6051	110324
26	6315	110630
27	6581	110942
28	6812	110638
29	7005	109745
30	7227	109344
31	7474	109308
32	7714	109177
33	7975	109306
34	8223	109249
35	8440	108783
36	8699	108857
37	8939	108687
38	9202	108781
39	9474	108961
40	9737	109010
41	9990	108940
42	10222	108640
43	10408	107874
44	10628	107468
45	10826	106856
46	11048	106485
47	11245	105898
48	11431	105216
49	11619	104575
50	11815	104019
51	12000	103386
52	12190	102814
53	12394	102369
54	12583	101813
55	12773	101275
56	13028	101257
57	13239	100892
58	13437	100438
59	13627	99937
60	13808	99372
61	13999	98902
62	14181	98373
63	14366	97868
64	14564	97470
65	14743	96947
66	14935	96521
67	15125	96088
68	15321	95706
69	15549	95516
70	15733	95065
71	15922	94647
72	16102	94186
73	16287	93761
74	16477	93370
75	16658	92936
76	16835	92488
77	17015	92060
78	17190	91610
79	17371	91199
80	17545	90758
81	17714	90300
82	17884	89851
83	18049	89388
84	18203	88874
85	18376	88464
86	18548	88050
87	18720	87645
88	18888	87225
89	19052	86794
90	19221	86392
91	19379	85943
92	19554	85578
93	19715	85152
94	19902	84848
95	20082	84515
96	20282	84267
97	20451	83893
98	20615	83503
99	20781	83127
100	20969	82841
101	21149	82523
102	21325	82196
103	21505	81886
104	21661	81487
105	21823	81116
106	21990	80768
107	22143	80372
108	22312	80038
109	22494	79751
110	22662	79421
111	22837	79117
112	23004	78786
113	23166	78441
114	23342	78148
115	23525	77878
116	23689	77547
117	23877	77299
118	24064	77046
119	24244	76775
120	24412	76464
121	24614	76263
122	24796	76002
123	24961	75688
124	25122	75367
125	25284	75049
126	25475	74822
127	25653	74555
128	25806	74219
129	25948	73852
130	26099	73517
131	26255	73198
132	26402	72853
133	26549	72515
134	26719	72240
135	26940	72105
136	27167	71982
137	27335	71706
138	27492	71402
139	27641	71078
140	27799	70780
141	27954	70475
142	28112	70184
143	28273	69898
144	28426	69595
145	28572	69279
146	28730	68991
147	28879	68686
148	29034	68396
149	29185	68099
150	29337	67806
151	29500	67539
152	29653	67254
153	29796	66945
154	29944	66650
155	30092	66357
156	30249	66087
157	30402	65807
158	30553	65526
159	30697	65232
160	30845	64948
161	30995	64669
162	31145	64393
163	31306	64139
164	31457	63868
165	31613	63608
166	31771	63351
167	31943	63126
168	32089	62848
169	32245	62593
170	32401	62340
171	32546	62065
172	32701	61811
173	32846	61540
174	33000	61286
175	33160	61045
176	33327	60818
177	33483	60571
178	33629	60308
179	33781	60056
180	33943	59822
181	34103	59587
182	34293	59403
183	34459	59180
184	34606	58925
185	34764	58688
186	34909	58431
187	35074	58209
188	35229	57970
189	35388	57739
190	35533	57485
191	35671	57222
192	35825	56987
193	35982	56755
194	36125	56503
195	36289	56286
196	36446	56057
197	36605	55832
198	36761	55604
199	36917	55376
200	37068	55140
201	37216	54903
202	37366	54668
203	37513	54431
204	37680	54222
205	37829	53989
206	37988	53770
207	38143	53548
208	38292	53316
209	38453	53102
210	38612	52886
211	38767	52665
212	38905	52421
213	39049	52187
214	39201	51965
215	39349	51736
216	39501	51516
217	39654	51295
218	39809	51079
219	39953	50849
220	40110	50636
221	40259	50414
222	40416	50203
223	40562	49978
224	40707	49753
225	40867	49547
226	41011	49321
227	41155	49098
228	41309	48886
229	41461	48671
230	41606	48450
231	41752	48231
232	41896	48010
233	42041	47790
234	42195	47582
235	42352	47377
236	42497	47159
237	42645	46946
238	42784	46722
239	42942	46521
240	43088	46306
241	43247	46106
242	43406	45907
243	43562	45705
244	43713	45497
245	43867	45294
246	44022	45091
247	44169	44882
248	44319	44675
249	44468	44468
250	44619	44263
251	44763	44052
252	44906	43841
253	45050	43631
254	45185	43413
255	45322	43198
256	45474	42997
257	45626	42797
258	45762	42582
259	45918	42385
260	46079	42195
261	46222	41988
262	46367	41783
263	46515	41582
264	46661	41379
265	46817	41185
266	46957	40977
267	47115	40786
268	47264	40587
269	47406	40382
270	47561	40190
271	47734	40013
272	47874	39807
273	48018	39606
274	48165	39407
275	48319	39215
276	48465	39017
277	48620	38826
278	48761	38624
279	48910	38429
280	49054	38231
281	49195	38030
282	49342	37835
283	49485	37636
284	49624	37436
285	49764	37236
286	49909	37040
287	50068	36855
288	50233	36675
289	50378	36480
290	50530	36291
291	50671	36094
292	50816	35901
293	50962	35708
294	51114	35520
295	51256	35325
296	51403	35134
297	51566	34954
298	51712	34763
299	51865	34577
300	52015	34389
301	52154	34194
302	52286	33994
303	52435	33806
304	52588	33622
305	52731	33431
306	52885	33247
307	53036	33062
308	53189	32877
309	53334	32689
310	53481	32501
311	53639	32321
312	53782	32132
313	53935	31949
314	54084	31764
315	54235	31580
316	54386	31396
317	54529	31208
318	54673	31021
319	54812	30831
320	54951	30642
321	55088	30452
322	55238	30270
323	55384	30085
324	55538	29905
325	55686	29721
326	55841	29543
327	55988	29359
328	56136	29177
329	56293	28999
330	56438	28815
331	56591	28636
332	56738	28454
333	56919	28289
334	57106	28126
335	57264	27950
336	57440	27782
337	57632	27622
338	57791	27446
339	57957	27273
340	58116	27098
341	58255	26913
342	58404	26733
343	58570	26560
344	58724	26383
345	58879	26206
346	59023	26024
347	59176	25847
348	59341	25675
349	59497	25499
350	59650	25321
351	59799	25143
352	59945	24963
353	60094	24784
354	60237	24603
355	60392	24428
356	60559	24257
357	60715	24082
358	60859	23903
359	61005	23724
360	61150	23545
361	61299	23368
362	61444	23189
363	61603	23016
364	61758	22842
365	61914	22667
366	62058	22489
367	62205	22312
368	62357	22137
369	62509	21962
370	62651	21784
371	62821	21615
372	62994	21448
373	63151	21275
374	63292	21097
375	63445	20923
376	63598	20749
377	63752	20576
378	63919	20406
379	64061	20229
380	64219	20058
381	64372	19884
382	64515	19708
383	64668	19535
384	64811	19359
385	64972	19188
386	65117	19013
387	65268	18840
388	65425	18668
389	65573	18494
390	65731	18324
391	65891	18153
392	66040	17980
393	66202	17810
394	66346	17636
395	66504	17465
396	66659	17294
397	66814	17123
398	66961	16950
399	67118	16779
400	67278	16609
401	67435	16439
402	67582	16266
403	67719	16091
404	67869	15919
405	68017	15747
406	68168	15576
407	68318	15405
408	68476	15235
409	68631	15065
410	68798	14897
411	68943	14725
412	69095	14555
413	69238	14382
414	69383	14210
415	69543	14042
416	69718	13876
417	69877	13707
418	70034	13538
419	70185	13368
420	70352	13201
421	70507	13032
422	70670	12864
423	70838	12697
424	71002	12529
425	71150	12359
426	71315	12192
427	71475	12023
428	71644	11857
429	71820	11691
430	72007	11527
431	72247	11372
432	72428	11207
433	72607	11041
434	72797	10877
435	72982	10713
436	73164	10547
437	73345	10382
438	73512	10214
439	73687	10048
440	73856	9880
441	74030	9714
442	74188	9545
443	74349	9377
444	74510	9209
445	74681	9042
446	74888	8879
447	75068	8713
448	75233	8545
449	75393	8377
450	75558	8209
451	75754	8044
452	75980	7883
453	76164	7717
454	76345	7550
455	76536	7385
456	76706	7217
457	76857	7048
458	77017	6879
459	77196	6712
460	77420	6549
461	77576	6380
462	77766	6214
463	77939	6047
464	78110	5879
465	78330	5715
466	78493	5546
467	78654	5378
